"customername","email","phone","birthday","serialnumber","registrationdate","lastupdatedate","sharewithresearchasofdate","sharewithpublicasofdate"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296201423",,"1655296201423"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296290698",,"1655296290698"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296197428",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296350155",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296341391",,"1655296341391"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296387566",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296270910",,"1655296270910"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296285701",,"1655296285701"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296203834",,"1655296203834"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296324361",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296196917",,"1655296196917"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296223088",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296200991",,"1655296200991"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296375901",,"1655296375901"
