"customername","email","phone","birthday","serialnumber","registrationdate","lastupdatedate","sharewithresearchasofdate","sharewithpublicasofdate"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296200727","1655296200727",
"Sarah Jefferson","Sarah.Jefferson@test.com","8015551212","1965-01-01","e8fb336f-0ccb-4018-9e86-c9cddaad69fa","1655564084926","1655564084926","1655564084926","1655564084926"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296253908","1655296253908","1655296253908"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296201380","1655296201380","1655296201380"
"Edward Lincoln","Edward.Lincoln@test.com","8015551212","1965-01-01","64f4bf35-626a-4b18-99e7-b7462ccf51d4","1655563924060","1655563990886","1655563990886",
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296200541",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296192004",,"1655296192004"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296202242",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296354558","1655296354558",
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296261537","1655296261537",
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296296972",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296336681",,"1655296336681"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296201983","1655296201983","1655296201983"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296270259",,"1655296270259"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296200754","1655296200754","1655296200754"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296201949",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296194320",,
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296299809","1655296299809",
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296321513","1655296321513","1655296321513"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296234708",,"1655296234708"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296200858","1655296200858","1655296200858"
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296357070","1655296357070",
"Bobby Davis","Bobby.Davis@test.com","8015551212","1965-01-01","5d9bf1f7-0492-4bac-842b-3ed958fa5ba1","1655296152388","1655296236593",,"1655296236593"
